genre,value,year

History,26,1910-1980
Science.Fiction,35,1910-1980
Crime,28,1910-1980
Family,21,1910-1980
Comedy,53,1910-1980
Action,58,1910-1980
Mystery,16,1910-1980
Adventure,50,1910-1980
War,25,1910-1980
Thriller,46,1910-1980
Documentary,2,1910-1980
Horror,21,1910-1980
Romance,58,1910-1980
Drama,140,1910-1980
Western,21,1910-1980
Animation,5,1910-1980
Fantasy,11,1910-1980
Music,29,1910-1980
    

History,17,1980-1990
Science.Fiction,55,1980-1990
Crime,32,1980-1990
Family,19,1980-1990
Comedy,82,1980-1990
Action,84,1980-1990
Mystery,11,1980-1990
Adventure,75,1980-1990
War,12,1980-1990
Thriller,71,1980-1990
Documentary,1,1980-1990
Horror,591980-1990
Romance,37,1980-1990
Drama,100,1980-1990
Western,9,1980-1990
Animation,4,1980-1990
Fantasy,36,1980-1990
Music,12,1980-1990

History,27,1990-2000
Science.Fiction,92,1990-2000
Crime,147,1990-2000
Family,79,1990-2000
Comedy,316,1990-2000
Action,200,1990-2000
Mystery,71,1990-2000
Adventure,127,1990-2000
War,17,1990-2000
Thriller,225,1990-2000
Documentary,3,1990-2000
Horror,67,1990-2000
Romance,168,1990-2000
Drama,396,1990-2000
Western,10,1990-2000
Animation,26,1990-2000
Fantasy,84,1990-2000
Music,20,1990-2000


History,77,2000-2010
Science.Fiction,193,2000-2010
Crime,308,2000-2010
Family,246,2000-2010
Comedy,805,2000-2010
Action,466,2000-2010
Mystery,162,2000-2010
Adventure,320,2000-2010
War,58,2000-2010
Thriller,535,2000-2010
Documentary,56,2000-2010
Horror,189,2000-2010
Romance,435,2000-2010
Drama,1011,2000-2010
Western,20,2000-2010
Animation,107,2000-2010
Fantasy,178,2000-2010
Music,79,2000-2010
       

History,50,2010-2017
Science.Fiction,159,2010-2017
Crime,108,2010-2017
Family,144,2010-2017
Comedy,459,2010-2017
Action,344,2010-2017
Mystery,87,2010-2017
Adventure,218,2010-2017
War,32,2010-2017
Thriller,396,2010-2017
Documentary,46,2010-2017
Horror,182,2010-2017
Romance,194,2010-2017
Drama,644,2010-2017
Western,22,2010-2017
Animation,91,2010-2017
Fantasy,115,2010-2017
Music,44,2010-2017
    
